#1. Do you use software in your research?,3. Have you had formal training in software development?,4. Which of these is more common in your work?,5. Select any of these that you use regularly to write code for your research.,6. What is your field of research?,7. What is your career stage?,8. My institution is located in:,9. Please share any other comments you may have on the topic.
use,training,own,software,field,career,location
Yes,No,Own,Python,Observational Instrumentation Planetary,Graduate student,Australia
Yes,No,Others,IDL Python C Shell Scripting,Planetary,Graduate student,Germany
Yes,No,Between,Python R,Theory,Graduate student,Germany
Yes,No,Own,IDL Python C CudaC,Observational,Graduate student,Germany
Yes,No,Others,IRAF Python C Fortran,Observational,Graduate student,Germany
Yes,No,Own,IDL HTML/CSS,Observational,Graduate student,Germany
Yes,No,Between,IDL C Fortran Shell Scripting gnuplot,Theory,Graduate student,Germany
Yes,No,Own,IDL Python,Observational Instrumentation,Graduate student,Germany
Yes,No,Others,IDL IRAF Fortran Matlab Java Excel or other spreadsheet,Observational Theory Extragalactic Astrophysics,Graduate student,Germany
Yes,No,Between,Python Fortran YT,Theory,Graduate student,Germany
Yes,No,Own,IDL Python Fortran,Observational,Graduate student,United States of America
Yes,No,Between,C R SQL Shell Scripting,Theory,Graduate student,Germany
Yes,No,Between,Python C Fortran Shell Scripting Excel or other spreadsheet,Observational Theory,Graduate student,Germany
Yes,No,Between,IDL C,Theory,Graduate student,Germany
Yes,No,Own,Matlab,Theory,Graduate student,Israel
Yes,No,Between,IDL Python Shell Scripting,Observational,Graduate student,United States of America
Yes,No,Between,IDL IRAF Python Fortran Javascript Julia R HTML/CSS D3.js,Observational,Graduate student,United Kingdom
Yes,No,Others,Python C ROOT,Observational Instrumentation,Graduate student,France
Yes,No,Own,IRAF Python SQL,Observational,Graduate student,Brazil
Yes,No,Own,Python,Planetary,Graduate student,United States of America
Yes,No,Between,Python SQL,Observational,Graduate student,United States of America
Yes,No,Own,Python Matlab Shell Scripting,Observational,Graduate student,United Kingdom
Yes,No,Own,Python C++,Observational,Graduate student,Australia
Yes,No,Own,Python,Theory,Graduate student,Germany
Yes,Little,Between,Python C Fortran,Theory,Graduate student,United States of America
Yes,Little,Between,IDL IRAF Python Shell Scripting Excel or other spreadsheet,Observational,Graduate student,United States of America
Yes,Little,Between,IDL Python SQL Shell Scripting,Observational,Graduate student,United States of America
Yes,Little,Between,Python C Shell Scripting mathematica,Theory,Graduate student,United States of America
Yes,Little,Own,IDL Python SQL,Observational,Graduate student,United States of America
Yes,Little,Between,Python,Observational,Graduate student,United States of America
Yes,Little,Between,IDL Python Fortran,Theory,Graduate student,United States of America
Yes,Little,Others,Python,Theory,Graduate student,United States of America
Yes,Little,Own,C Perl SQL Shell Scripting C++/CUDA,Observational Instrumentation,Graduate student,United States of America
Yes,Little,Between,Python C Perl Javascript R SQL Shell Scripting HTML/CSS Excel or other spreadsheet,Theory,Graduate student,United States of America
Yes,Little,Between,Fortran Shell Scripting HTML/CSS Excel or other spreadsheet,Theory,Graduate student,Germany
Yes,Little,Between,Python Fortran Shell Scripting,Theory,Graduate student,United States of America
Yes,Little,Others,Python Fortran Matlab,Observational Theory,Graduate student,United States of America
Yes,Little,Between,IRAF Python C Fortran,Observational Theory,Graduate student,United States of America
Yes,Little,Between,Python C Javascript Shell Scripting HTML/CSS,Observational Theory,Graduate student,United States of America
Yes,Little,Between,Python R,Observational,Graduate student,United States of America
Yes,Little,Between,Python C Julia Shell Scripting,Theory,Graduate student,United States of America
Yes,Little,Between,IDL Python Fortran,Observational Theory,Graduate student,United States of America
Yes,Little,Between,IDL Python Javascript SQL Shell Scripting HTML/CSS Excel or other spreadsheet,Observational Instrumentation,Graduate student,United States of America
Yes,Little,Between,IDL IRAF Fortran Shell Scripting Excel or other spreadsheet,Observational,Graduate student,Chile
Yes,Little,Between,Python Fortran Perl Shell Scripting,Theory,Graduate student,France
Yes,Little,Others,IDL sm or supermongo,Observational,Graduate student,United States of America
Yes,Little,Between,IDL IRAF Python Excel or other spreadsheet,Observational,Graduate student,United States of America
Yes,Little,Own,Python Fortran,Theory,Graduate student,Germany
Yes,Little,Between,IDL IRAF Python,Observational,Graduate student,United States of America
Yes,Little,Own,IRAF Python SQL HTML/CSS,Observational,Graduate student,United Kingdom
Yes,Little,Between,Python C Shell Scripting,Theory,Graduate student,United States of America
Yes,Little,Own,IDL Python,Observational,Graduate student,United States of America
Yes,Little,Between,IDL Python Fortran,Observational,Graduate student,United States of America
Yes,Little,Between,IRAF Python,Observational,Graduate student,United States of America
Yes,Little,Own,Python Fortran Shell Scripting,Theory,Graduate student,Germany
Yes,Little,Own,IDL IRAF Python Shell Scripting,Observational,Graduate student,Germany
Yes,Little,Others,Python Fortran,Theory Planetary,Graduate student,Brazil
Yes,Little,Between,Python C Shell Scripting,Theory,Graduate student,United States of America
Yes,Little,Between,IRAF Python,Observational,Graduate student,United States of America
Yes,Little,Between,Python,Theory,Graduate student,United States of America
Yes,Little,Own,Python Julia,Theory,Graduate student,United States of America
Yes,Little,Between,Python Mathematica,Theory,Graduate student,United States of America
Yes,Little,Own,IDL Python Shell Scripting,Observational,Graduate student,United States of America
Yes,Little,Between,IDL IRAF Python R Excel or other spreadsheet,Observational,Graduate student,United States of America
Yes,Little,Between,Python C Fortran HTML/CSS C++,Theory,Graduate student,United States of America
Yes,Little,Own,Python,Other,Graduate student,United States of America
Yes,Little,Between,IDL Python C,Instrumentation Planetary,Graduate student,United States of America
Yes,Little,Between,Python Fortran Shell Scripting Ruby,Theory,Graduate student,United States of America
Yes,Little,Between,IDL Python,Observational,Graduate student,United States of America
Yes,Little,Own,IDL Python C Shell Scripting,Observational Instrumentation,Graduate student,United States of America
Yes,Little,Between,IRAF Python,Observational,Graduate student,Australia
Yes,Little,Others,IDL SQL,Observational,Graduate student,United States of America
Yes,Little,Between,IDL C Shell Scripting,Theory,Graduate student,United States of America
Yes,Little,Between,Python C,Observational,Graduate student,United States of America
Yes,Little,Between,IDL C,Theory,Graduate student,Germany
Yes,Little,Between,Python Shell Scripting,Observational,Graduate student,United States of America
Yes,Little,Own,IDL Fortran,Observational Theory,Graduate student,United States of America
Yes,Little,Between,IRAF Perl Matlab Shell Scripting Excel or other spreadsheet,Observational,Graduate student,United States of America
Yes,Little,Between,IRAF Python,Observational,Graduate student,United States of America
Yes,Little,Between,IDL Python C Matlab Shell Scripting,Theory Planetary,Graduate student,United States of America
Yes,Little,Between,Python C Fortran,Theory,Graduate student,United States of America
Yes,Little,Between,IDL IRAF Matlab,Observational,Graduate student,United States of America
Yes,Little,Between,Python C Fortran,Theory Planetary,Graduate student,United States of America
Yes,Little,Between,IDL Python Fortran Excel or other spreadsheet,Theory,Graduate student,Chile
Yes,Little,Between,Python Julia Shell Scripting,Observational,Graduate student,United States of America
Yes,Little,Between,Python C,Theory,Graduate student,United States of America
Yes,Little,Between,Perl,Theory,Graduate student,United States of America
Yes,Little,Own,Python git,Observational,Graduate student,Sweden
Yes,Little,Between,Python,Observational,Graduate student,United States of America
Yes,Little,Own,Python HTML/CSS,Observational,Graduate student,United States of America
Yes,Little,Between,IDL IRAF C Matlab Shell Scripting,Observational,Graduate student,United States of America
Yes,Little,Own,IDL IRAF Python C SQL Shell Scripting,Observational,Graduate student,United States of America
Yes,Little,Own,IDL IRAF Python C Shell Scripting,Observational,Graduate student,United States of America
Yes,Little,Between,IDL Python R miriad,Observational,Graduate student,United States of America
Yes,Little,Own,IDL IRAF Python C Javascript Shell Scripting,Observational Instrumentation,Graduate student,United States of America
Yes,Little,Own,Python C mathematica,Theory,Graduate student,United Kingdom
Yes,Little,Own,Python Matlab,Observational Instrumentation,Graduate student,United States of America
Yes,Little,Between,Python C Matlab Shell Scripting,Instrumentation,Graduate student,Australia
Yes,Little,Between,Python C HTML/CSS,Observational,Graduate student,United States of America
Yes,Little,Between,IDL Python Perl Shell Scripting Excel or other spreadsheet C++,Theory,Graduate student,United States of America
Yes,Little,Others,IDL IRAF Perl,Observational,Graduate student,Mexico
Yes,Little,Own,Python Fortran Shell Scripting C++,Theory Statistical Methods,Graduate student,United Kingdom
Yes,Little,Between,IDL IRAF,Observational,Graduate student,United States of America
Yes,Little,Between,IDL IRAF Python R Shell Scripting Excel or other spreadsheet awk CASA and CIAO (which are python-based),Observational,Graduate student,United States of America
Yes,Little,Between,Python C Shell Scripting Excel or other spreadsheet,Observational Planetary,Graduate student,United States of America
Yes,Little,Between,Python C Shell Scripting,Theory,Graduate student,United States of America
Yes,Little,Between,IDL Python,Instrumentation,Graduate student,United States of America
Yes,Little,Between,Python C Shell Scripting,Observational,Graduate student,United States of America
Yes,Little,Between,Python Perl Shell Scripting,Observational,Graduate student,United States of America
Yes,Little,Own,Python C Matlab Shell Scripting HTML/CSS,Theory,Graduate student,Canada
Yes,Little,Between,Python Matlab Excel or other spreadsheet,Instrumentation,Graduate student,Australia
Yes,Little,Others,Python C Fortran Shell Scripting,Theory,Graduate student,United States of America
Yes,Little,Between,Python Shell Scripting,Observational,Graduate student,United States of America
Yes,Little,Between,IRAF Python Shell Scripting Excel or other spreadsheet,Observational,Graduate student,United States of America
Yes,Little,Own,IDL Shell Scripting,Observational,Graduate student,United States of America
Yes,Little,Own,IDL,Observational,Graduate student,United States of America
Yes,Little,Between,Python C,Observational,Graduate student,United States of America
Yes,Little,Between,IDL Python C Shell Scripting,Theory,Graduate student,Germany
Yes,Little,Between,IDL Python Shell Scripting,Observational,Graduate student,United States of America
Yes,Little,Between,Python C Fortran Mathematica,Theory,Graduate student,United States of America
Yes,Little,Own,Python C Shell Scripting HTML/CSS,Theory,Graduate student,United States of America
Yes,Little,Between,IRAF Python Shell Scripting,Observational,Graduate student,United States of America
Yes,Little,Own,IDL Python,Theory Planetary,Graduate student,United States of America
Yes,Little,Between,Python Matlab,Theory,Graduate student,Australia
Yes,Little,Own,IDL Python Matlab Shell Scripting,Instrumentation Planetary,Graduate student,United States of America
Yes,Little,Between,Python C Fortran HTML/CSS,Observational,Graduate student,United States of America
Yes,Little,Between,IDL Python C Fortran Shell Scripting,Observational Theory,Graduate student,Belgium
Yes,Little,Between,IDL Python C Matlab R,Theory,Graduate student,Australia
Yes,Little,Between,IDL Fortran,Planetary,Graduate student,United States of America
Yes,Little,Own,Python,Observational,Graduate student,United States of America
Yes,Little,Between,IRAF Python Matlab,Observational,Graduate student,United States of America
Yes,Little,Own,IDL HTML/CSS,Observational,Graduate student,United States of America
Yes,Little,Between,IDL,Observational,Graduate student,United States of America
Yes,Little,Between,Python Fortran Javascript Shell Scripting Ruby HTML/CSS,Observational Theory,Graduate student,United States of America
Yes,Little,Own,IDL Python C Perl,Observational,Graduate student,United States of America
Yes,Little,Own,Python Fortran Shell Scripting,Theory,Graduate student,United States of America
Yes,Little,Between,IRAF Python Excel or other spreadsheet,Observational,Graduate student,United States of America
Yes,Little,Between,IDL Python SQL Shell Scripting,Observational Theory,Graduate student,United States of America
Yes,Little,Own,Python,Theory,Graduate student,United States of America
Yes,Little,Between,Python C Shell Scripting,Theory,Graduate student,United States of America
Yes,Little,Own,IDL Shell Scripting Mathematica,Planetary,Graduate student,United States of America
Yes,Little,Between,Python C,Theory,Graduate student,Germany
Yes,Little,Between,IDL IRAF Python SQL,Observational,Graduate student,United States of America
Yes,Little,Between,IDL Python Fortran Shell Scripting Excel or other spreadsheet,Observational Theory,Graduate student,United States of America
Yes,Little,Between,Python,Theory,Graduate student,United States of America
Yes,Little,Others,Python Excel or other spreadsheet,Observational,Graduate student,Australia
Yes,Little,Between,Python Shell Scripting Excel or other spreadsheet,Observational Theory,Graduate student,Chile
Yes,Little,Own,IDL IRAF Python,Observational,Graduate student,United Kingdom
Yes,Little,Others,IDL IRAF Python SQL Shell Scripting ds9,Observational,Graduate student,United States of America
Yes,Little,Own,Python Shell Scripting,Observational,Graduate student,United States of America
Yes,Little,Between,IDL Python Excel or other spreadsheet,Observational,Graduate student,Australia
Yes,Little,Between,IDL Python Mathematica,Observational Theory,Graduate student,United States of America
Yes,Little,Between,IDL IRAF Python Shell Scripting,Observational,Graduate student,United States of America
Yes,Little,Between,Python C Shell Scripting,Theory,Graduate student,United States of America
Yes,Little,Own,IDL Fortran Matlab,Observational,Graduate student,New Zealand
Yes,Little,Between,Python Fortran Shell Scripting,Theory,Graduate student,Canada
Yes,Little,Own,IDL Python C C++,Observational Instrumentation,Graduate student,United States of America
Yes,Little,Between,IRAF Shell Scripting,Observational,Graduate student,Chile
Yes,Little,Between,Python C Shell Scripting,Observational,Graduate student,United States of America
Yes,Little,Own,IDL IRAF Python Matlab HTML/CSS Excel or other spreadsheet,Observational,Graduate student,United States of America
Yes,Little,Between,Python C Fortran Shell Scripting,Theory,Graduate student,United Kingdom
Yes,Little,Between,Python C Fortran Shell Scripting,Theory,Graduate student,United Kingdom
Yes,Little,Own,C sm or supermongo,Theory,Graduate student,United States of America
Yes,Little,Between,Python C Shell Scripting,Theory,Graduate student,Netherlands
Yes,Little,Between,Python Matlab Shell Scripting,Observational,Graduate student,Germany
Yes,Little,Between,Python Fortran Matlab Shell Scripting,Theory Planetary,Graduate student,Germany
Yes,Little,Own,Python Shell Scripting Git pandoc,Observational,Graduate student,Sweden
Yes,Little,Between,IDL Python Fortran Shell Scripting,Theory,Graduate student,Sweden
Yes,Little,Between,Python SQL,Observational,Graduate student,Sweden
Yes,Little,Own,C#,Observational Theory,Graduate student,Sweden
Yes,Little,Own,Python C,Theory,Graduate student,Sweden
Yes,Little,Between,Python C Fortran Shell Scripting haskell,Theory Computational Astrophysics,Graduate student,Switzerland
Yes,Little,Others,IDL C Shell Scripting,Observational,Graduate student,Sweden
Yes,Little,Between,IDL,Observational,Graduate student,Sweden
Yes,Little,Own,IDL Python Maple,Cosmology,Graduate student,Brazil
Yes,Little,Between,Python,Observational,Graduate student,Argentina
Yes,Little,Between,IDL Python C Shell Scripting,Observational Theory,Graduate student,United States of America
Yes,Little,Between,IDL Python Shell Scripting HTML/CSS,Observational,Graduate student,United Kingdom
Yes,Little,Between,Python Shell Scripting VimL,Observational,Graduate student,Portugal
Yes,Little,Own,Python SQL,Observational,Graduate student,Sweden
Yes,Little,Between,Fortran R,Theory,Graduate student,Argentina
Yes,Little,Between,IRAF Python R,Observational Instrumentation,Graduate student,Argentina
Yes,Little,Others,IDL Python C,Theory,Graduate student,Germany
Yes,Little,Own,Python Shell Scripting,Observational,Graduate student,Netherlands
Yes,Little,Own,Python C Fortran Matlab Shell Scripting,Theory,Graduate student,Sweden
Yes,Little,Between,IRAF Python Matlab Excel or other spreadsheet,Observational,Graduate student,Sweden
Yes,Little,Own,Fortran Matlab,Theory,Graduate student,United Kingdom
Yes,Little,Between,Python Javascript HTML/CSS,Observational,Graduate student,Denmark
Yes,Little,Own,IDL Python R SQL,Observational,Graduate student,Netherlands
Yes,Little,Others,Python C Fortran Matlab HTML/CSS,Observational Instrumentation Planetary Other,Graduate student,India
Yes,Little,Own,Python C Fortran Shell Scripting,Theory,Graduate student,United States of America
Yes,Little,Between,IDL,Observational,Graduate student,United States of America
Yes,Little,Own,IDL Python Shell Scripting Mathematica,Observational,Graduate student,United States of America
Yes,Little,Own,Python R,Observational Theory,Graduate student,Switzerland
Yes,Little,Between,Python,Observational Instrumentation,Graduate student,United States of America
Yes,Little,Between,IDL IRAF,Observational,Graduate student,Australia
Yes,Little,Between,Python Shell Scripting,Observational,Graduate student,Australia
Yes,Little,Own,C R Shell Scripting,Observational Theory,Graduate student,United States of America
Yes,Little,Between,IDL IRAF,Observational Planetary,Graduate student,United States of America
Yes,Little,Between,Python,Observational,Graduate student,Australia
Yes,Little,Others,IDL Python C Fortran Shell Scripting,Theory,Graduate student,Germany
Yes,Little,Between,IDL,Observational,Graduate student,Germany
Yes,Little,Between,Python,Observational Theory,Graduate student,Germany
Yes,Little,Between,IDL IRAF Python C Fortran Shell Scripting Gnuplot,Theory,Graduate student,Germany
Yes,Little,Between,IDL Python Shell Scripting,Theory,Graduate student,Georgia
Yes,Little,Between,IDL Python,Observational Theory,Graduate student,Germany
Yes,Little,Between,Python C Shell Scripting Excel or other spreadsheet,Theory,Graduate student,Germany
Yes,Little,Between,Python C,Theory,Graduate student,Germany
Yes,Little,Between,Python,Observational,Graduate student,Germany
Yes,Little,Others,Python Shell Scripting CASA,Observational,Graduate student,Germany
Yes,Little,Between,IDL Python Matlab,Theory,Graduate student,Germany
Yes,Little,Between,IRAF Python Shell Scripting sm or supermongo,Observational,Graduate student,Germany
Yes,Little,Others,IDL,Observational,Graduate student,Germany
Yes,Little,Own,Python C,Theory,Graduate student,Germany
Yes,Little,Between,IDL IRAF Python,Observational,Graduate student,Germany
Yes,Little,Between,IDL IRAF C Shell Scripting Excel or other spreadsheet,Observational Instrumentation,Graduate student,United States of America
Yes,Little,Between,IDL Python,Theory,Graduate student,United States of America
Yes,Little,Others,IRAF Python sm or supermongo,Observational,Graduate student,Chile
Yes,Little,Own,Matlab,Theory,Graduate student,Israel
Yes,Little,Between,Python C Shell Scripting,Observational Theory,Graduate student,United States of America
Yes,Little,Own,IDL,Observational,Graduate student,Germany
Yes,Little,Others,IRAF Python Excel or other spreadsheet,Planetary,Graduate student,United States of America
Yes,Little,Between,Python Shell Scripting,Observational,Graduate student,United Kingdom
Yes,Little,Own,IDL Python C Javascript Julia HTML/CSS,Theory,Graduate student,United States of America
Yes,Little,Own,Python Shell Scripting C++,Observational,Graduate student,United States of America
Yes,Yes,Between,IDL Python Shell Scripting,Observational Instrumentation,Graduate student,United Kingdom
Yes,Yes,Between,IDL Python C,Observational,Graduate student,United States of America
Yes,Yes,Own,Python C Fortran R Shell Scripting Maple,Planetary,Graduate student,Brazil
Yes,Yes,Between,IDL Python R Shell Scripting Jython,Observational,Graduate student,Germany
Yes,Yes,Between,Python Fortran Shell Scripting git,Theory,Graduate student,United States of America
Yes,Yes,Between,IDL IRAF Python C Fortran R Shell Scripting,Observational,Graduate student,United Kingdom
Yes,Yes,Own,Python Shell Scripting Excel or other spreadsheet,Observational,Graduate student,United States of America
Yes,Yes,Own,Python C,Theory,Graduate student,United Kingdom
Yes,Yes,Between,IDL Python Shell Scripting,Observational,Graduate student,United States of America
Yes,Yes,Own,C Fortran Shell Scripting,Theory,Graduate student,United States of America
Yes,Yes,Between,IDL IRAF Shell Scripting,Observational,Graduate student,United Kingdom
Yes,Yes,Own,Python Perl Shell Scripting,Theory,Graduate student,United States of America
Yes,Yes,Own,IDL,Observational,Graduate student,United States of America
Yes,Yes,Own,IDL Python C,Observational Instrumentation,Graduate student,Australia
Yes,Yes,Own,Python Fortran Java SQL HTML/CSS,Observational,Graduate student,Argentina
Yes,Yes,Own,Python Fortran Shell Scripting,Theory,Graduate student,Argentina
Yes,Yes,Own,C SQL Shell Scripting HTML/CSS,Instrumentation,Graduate student,Poland
Yes,Yes,Own,Python C Java Shell Scripting,Observational Instrumentation,Graduate student,Czech Republic
Yes,Yes,Between,Python Shell Scripting,Observational,Graduate student,Sweden
Yes,Yes,Own,Python C Fortran,Theory,Graduate student,Germany
Yes,Yes,Between,Python Shell Scripting,Observational,Graduate student,United States of America
Yes,Yes,Own,Python C Shell Scripting STAN HTML/CSS,Observational,Graduate student,Germany
Yes,Yes,Between,IDL IRAF Python C Fortran Matlab sm or supermongo Excel or other spreadsheet,Observational,Graduate student,Chile
Yes,Yes,Between,SQL c#,Observational Instrumentation,Graduate student,Malaysia
Yes,Yes,Own,Python C,Other,Graduate student,Australia
Yes,Yes,Between,Python C Fortran Shell Scripting HTML/CSS Rust,Theory,Graduate student,Germany
Yes,Yes,Own,Python C Fortran Matlab Shell Scripting,Theory,Graduate student,Germany
Yes,,Between,Python,Observational,Graduate student,Germany
Yes,Little,Between,Javascript SQL Shell Scripting HTML/CSS,Astronomy eResearch,IT at observatory,Australia
Yes,Little,Between,Python C Fortran Matlab C++,Planetary,mestrado,Brazil
Yes,Little,Others,IRAF,Observational,PhD student,Argentina
Yes,Yes,Own,Python C SQL,Theory,PhD student,Germany
Yes,No,Between,IDL IRAF Python sm or supermongo,Observational,Post-bac,United States of America
Yes,Little,Others,Python Shell Scripting Excel or other spreadsheet,Planetary,Post-Bachelors Research Scientist,United States of America
Yes,No,Between,Python C Fortran C++,Theory,Postdoc,Germany
Yes,No,Between,IDL IRAF Shell Scripting HTML/CSS sm or supermongo,Observational,Postdoc,Australia
Yes,No,Own,IDL Python,Theory,Postdoc,United States of America
Yes,No,Between,IDL IRAF Fortran Shell Scripting HTML/CSS,Observational,Postdoc,Chile
Yes,No,Own,Python C Fortran Shell Scripting Mathematica,Observational Theory,Postdoc,United States of America
Yes,No,Own,IDL Python,Instrumentation,Postdoc,Spain
Yes,No,Between,IDL C Fortran,Observational Theory,Postdoc,United Kingdom
Yes,No,Between,IDL IRAF Shell Scripting Excel or other spreadsheet,Observational,Postdoc,Chile
Yes,No,Between,Python SQL Shell Scripting,Observational,Postdoc,Germany
Yes,No,Between,IDL Fortran SQL Excel or other spreadsheet,Observational Theory,Postdoc,United Kingdom
Yes,No,Own,IDL IRAF Shell Scripting,Observational,Postdoc,United States of America
Yes,No,Between,IDL Python Fortran,Theory,Postdoc,United States of America
Yes,No,Own,IDL Python C Fortran,Theory,Postdoc,United States of America
Yes,No,Between,IDL Python sm or supermongo,Observational,Postdoc,United States of America
Yes,No,Between,IRAF Python C Shell Scripting,Observational,Postdoc,Germany
Yes,No,Between,Python,Observational Theory,Postdoc,Germany
Yes,No,Own,Python Javascript SQL Shell Scripting HTML/CSS Excel or other spreadsheet gnuplot,Observational,Postdoc,Germany
Yes,No,Between,Python,Observational,Postdoc,United States of America
Yes,No,Own,C Shell Scripting,Observational Theory,Postdoc,United Kingdom
Yes,No,Between,IDL Python,Observational,Postdoc,United States of America
Yes,No,Between,IDL Python Fortran Shell Scripting Excel or other spreadsheet,Observational Theory,Postdoc,United Kingdom
Yes,No,Between,IDL Python Fortran Shell Scripting Excel or other spreadsheet,Observational Theory,Postdoc,United Kingdom
Yes,No,Between,IRAF Python Shell Scripting,Observational Instrumentation,Postdoc,United States of America
Yes,No,Own,Python Javascript Matlab SQL Shell Scripting HTML/CSS PHP,Observational Other,Postdoc,Denmark
Yes,No,Others,IDL Python Perl Shell Scripting,Observational,Postdoc,United States of America
Yes,No,Between,Python,Observational,Postdoc,Australia
Yes,No,Between,Python Javascript SQL Shell Scripting Ruby HTML/CSS,Observational Other,Postdoc,United Kingdom
Yes,No,Others,IRAF sm or supermongo AIPS,Observational,Postdoc,Sweden
Yes,No,Between,Python Perl,Observational,Postdoc,United Kingdom
Yes,No,Own,Python SQL,Observational Instrumentation,Postdoc,United Kingdom
Yes,No,Others,Python Shell Scripting,Observational,Postdoc,Switzerland
Yes,No,Own,IDL Python,Observational Theory,Postdoc,United States of America
Yes,No,Between,IDL IRAF C SQL,Observational Theory,Postdoc,United States of America
Yes,No,Between,Python C Matlab Shell Scripting HTML/CSS Excel or other spreadsheet,Observational Instrumentation,Postdoc,United States of America
Yes,No,Between,IDL,Observational,Postdoc,United States of America
Yes,No,Between,IRAF Python Matlab,Observational,Postdoc,United States of America
Yes,No,Others,IDL IRAF Shell Scripting,Observational,Postdoc,United States of America
Yes,No,Between,IDL Python Excel or other spreadsheet,Observational,Postdoc,United States of America
Yes,No,Own,IDL Python Ruby,Observational Instrumentation,Postdoc,United States of America
Yes,No,Between,IDL,Theory,Postdoc,Italy
Yes,No,Own,Python C Matlab,Observational,Postdoc,Australia
Yes,No,Between,IDL Fortran Shell Scripting,Observational Theory,Postdoc,France
Yes,No,Own,Python C Fortran Shell Scripting sm or supermongo,Theory,Postdoc,Netherlands
Yes,No,Between,IDL Python C Shell Scripting,Observational,Postdoc,Switzerland
Yes,No,Between,IDL Python Fortran Shell Scripting,Theory,Postdoc,United States of America
Yes,No,Between,Python,Observational,Postdoc,Austria
Yes,No,Between,Python SQL Shell Scripting,Observational,Postdoc,United States of America
Yes,No,Between,IDL,Observational,Postdoc,United States of America
Yes,No,Own,IDL IRAF,Observational,Postdoc,United States of America
Yes,No,Own,Python Shell Scripting c++,Theory Instrumentation,Postdoc,Germany
Yes,No,Own,IDL IRAF Python Fortran Matlab HTML/CSS Excel or other spreadsheet mathematica,Theory,Postdoc,United Kingdom
Yes,No,Between,Python C SQL Shell Scripting,Observational Instrumentation,Postdoc,Netherlands
Yes,No,Own,IDL C Ruby,Observational,Postdoc,Australia
Yes,No,Own,Python C Fortran SQL Shell Scripting,Observational Theory,Postdoc,United Kingdom
Yes,No,Others,IRAF C Shell Scripting,Observational Theory,Postdoc,United States of America
Yes,No,Others,IRAF Python Fortran Perl Shell Scripting Figaro gnuplot,Observational Instrumentation,Postdoc,Spain
Yes,No,Own,Python C Shell Scripting,Theory,Postdoc,Switzerland
Yes,No,Own,IDL sm or supermongo,Theory,Postdoc,United Kingdom
Yes,No,Between,IDL IRAF Python Shell Scripting,Observational,Postdoc,Sweden
Yes,No,Between,Python C SQL Shell Scripting,Observational,Postdoc,Germany
Yes,No,Own,IDL Fortran Shell Scripting,Observational Theory,Postdoc,United Kingdom
Yes,No,Between,IDL,Observational Theory,Postdoc,Germany
Yes,No,Own,IDL,Observational Theory,Postdoc,United States of America
Yes,No,Between,Fortran Shell Scripting gnuplot,Observational,Postdoc,Poland
Yes,No,Between,Python SQL Shell Scripting HTML/CSS,Observational,Postdoc,Australia
Yes,No,Own,Python Shell Scripting,Observational Theory,Postdoc,Italy
Yes,No,Own,IDL Fortran R Shell Scripting,Theory,Postdoc,United Kingdom
Yes,No,Between,IDL Python SQL Shell Scripting HTML/CSS Excel or other spreadsheet,Observational Theory,Postdoc,United States of America
Yes,No,Others,IDL IRAF Python Shell Scripting sm or supermongo,Observational,Postdoc,United States of America
Yes,No,Between,IDL,Observational,Postdoc,United States of America
Yes,No,Own,Python,Theory,Postdoc,United States of America
Yes,No,Between,IDL IRAF Python SQL,Observational,Postdoc,United States of America
Yes,No,Between,IDL Python C sm or supermongo,Observational,Postdoc,Mexico
Yes,No,Between,IDL Shell Scripting Mathematica,Observational,Postdoc,Australia
Yes,No,Between,Python Shell Scripting,Observational,Postdoc,Australia
Yes,No,Own,Python,Theory,Postdoc,Australia
Yes,No,Others,Python C Fortran,Theory,Postdoc,Australia
Yes,No,Between,Python Shell Scripting Mathematica,Theory,Postdoc,Australia
Yes,No,Own,IDL IRAF Python Perl sm or supermongo Excel or other spreadsheet Jython,Observational,Postdoc,United States of America
Yes,No,Between,IDL,Observational,Postdoc,Australia
Yes,No,Between,IDL Python,Observational,Postdoc,United States of America
Yes,No,Others,IDL IRAF Shell Scripting,Observational,Postdoc,Mexico
Yes,No,Between,Python Shell Scripting,Observational,Postdoc,United States of America
Yes,No,Own,IDL Fortran,Theory,Postdoc,Japan
Yes,No,Own,IDL Fortran,Theory,Postdoc,United States of America
Yes,No,Own,IDL IRAF HTML/CSS,Observational,Postdoc,United States of America
Yes,No,Between,Python Shell Scripting,Observational Instrumentation,Postdoc,United States of America
Yes,No,Between,IDL Python SQL Shell Scripting,Observational,Postdoc,
Yes,No,Between,Python C++ Marthematica,Theory,Postdoc,Australia
Yes,No,Between,IDL,Observational,Postdoc,Germany
Yes,No,Others,Python Matlab Shell Scripting,Observational,Postdoc,South Africa
Yes,No,Own,IDL Shell Scripting C++,Observational Other,Postdoc,United Kingdom
Yes,No,Own,Matlab Shell Scripting Excel or other spreadsheet,Observational Instrumentation,Postdoc,United States of America
Yes,No,Own,IDL,Observational,Postdoc,United Kingdom
Yes,No,Between,Python C Matlab Shell Scripting,Theory,Postdoc,United Kingdom
Yes,No,Between,IDL Python C Fortran Perl Shell Scripting,Observational,Postdoc,United States of America
Yes,No,Own,IDL IRAF C Shell Scripting HTML/CSS Excel or other spreadsheet,Observational,Postdoc,United Kingdom
Yes,No,Between,Fortran sm or supermongo Mathematica,Observational,Postdoc,Japan
